,KIE,PJP,XBI,XLV,KIE_vol,PJP_vol,XBI_vol,XLV_vol,cpi,unemployment,interest_rate,trends_flu_symptoms,trends_fever,trends_shortness_of_breath,wili,ili,num_ili,num_patients,nchs_deaths
2010-12-26,10.87686824798584,19.456003189086914,20.655916213989258,24.36144256591797,0.008760924222326607,0.0015219378563939166,0.011241684293553513,0.00222855426949808,220.472,9.3,0.18,11,55,2,3.136,3.43172,20346,592880,8641568.0
2011-01-02,10.879398345947266,19.220218658447266,20.23567008972168,24.245975494384766,0.003003673290972807,0.0036395827281639776,0.0031378182917931614,0.0017199941158418952,221.187,9.1,0.17,13,59,3,2.53336,2.69151,20026,744043,8769558.0
2011-01-09,11.023512840270996,19.130779266357422,20.44418716430664,24.684715270996094,0.0122120284725646,0.006568469435191291,0.009134160134222913,0.0035776535650998416,221.187,9.1,0.17,11,59,2,2.91288,2.91063,20721,711908,8769558.0
2011-01-16,11.195440292358398,19.2608642578125,20.655916213989258,24.769384384155273,0.008803603625092861,0.004169018494815598,0.003639685148940622,0.004681541104701795,221.187,9.1,0.17,13,64,3,3.44497,3.49232,26257,751850,8769558.0
2011-01-23,11.005816459655762,18.943782806396484,19.95016098022461,24.777076721191406,0.015829129566581956,0.00973023500374594,0.01477505031317414,0.004747218576859578,221.187,9.1,0.17,15,68,3,4.16185,4.0037,31975,798637,8769558.0
2011-01-30,10.95777702331543,18.691740036010742,19.690319061279297,24.330644607543945,0.014062355464102767,0.011981739214948172,0.018526025618425094,0.008272875238163996,221.187,9.1,0.17,15,72,3,4.55159,4.43534,34284,772974,8769558.0
2011-02-06,11.157514572143555,18.935649871826172,20.113771438598633,24.88484001159668,0.01457556451537159,0.004886854801176993,0.003805843937469985,0.008004631434305373,221.898,9.0,0.16,16,71,3,4.46504,4.24215,34456,812230,8769558.0
2011-02-13,11.478608131408691,18.87873649597168,20.023942947387695,24.923320770263672,0.008600389771610567,0.0011210999855865884,0.006247932560756149,0.0021871382358714226,221.898,9.0,0.16,16,82,3,4.55124,4.39719,36567,831600,8769558.0
2011-02-20,11.751670837402344,19.1795597076416,20.280582427978516,25.254295349121094,0.0076831999043275945,0.002395806866378579,0.004393103505183035,0.002873750541462173,221.898,9.0,0.16,13,78,3,4.0822,3.90256,31277,801449,8769558.0
2011-02-27,11.433101654052734,18.65921974182129,20.039995193481445,24.869441986083984,0.016073092057868704,0.012921045431231125,0.017241001820775072,0.010330305498674518,221.898,9.0,0.16,11,72,3,3.38812,3.15073,24627,781629,8769558.0
2011-03-06,11.273818969726562,19.14703369140625,20.120187759399414,25.500614166259766,0.017940122936137358,0.011844451948676761,0.006776787541301404,0.011055560660069349,223.046,9.0,0.14,9,68,3,2.99142,2.72422,20377,747993,8769558.0
2011-03-13,11.157514572143555,19.016956329345703,20.264551162719727,25.169641494750977,0.01290569917626194,0.011419484532828454,0.009860510316646424,0.008906097846329489,223.046,9.0,0.14,8,64,3,2.61542,2.33336,17309,741807,8769558.0
2011-03-20,10.882282257080078,18.838088989257812,19.92450523376465,24.7198486328125,0.014133828880095093,0.011858811935645495,0.0060671496477798185,0.011850694410605855,223.046,9.0,0.14,7,66,3,2.09065,1.925,14031,728883,8769558.0
2011-03-27,11.08512020111084,19.228349685668945,20.341529846191406,25.26111602783203,0.008969183754446317,0.004319088004616329,0.009052665583340514,0.005543825168000734,223.046,9.0,0.14,6,64,3,1.86146,1.75243,12957,739375,8769558.0
2011-04-03,11.32852840423584,19.895030975341797,21.563766479492188,25.7327823638916,0.0049499499319004105,0.010523151652111365,0.009592452993822232,0.003349631087472381,224.093,9.1,0.1,5,60,3,1.61377,1.57704,11498,729089,8769558.0
2011-04-10,11.26513957977295,20.37472152709961,21.887758255004883,25.763704299926758,0.008071664121306952,0.004242521097326709,0.0070712270312263395,0.0039926769178070046,224.093,9.1,0.1,5,58,3,1.42199,1.35766,9391,691707,8769558.0
2011-04-17,11.113015174865723,20.789379119873047,22.891841888427734,26.22764015197754,0.007828143029438224,0.004746730392907979,0.009917361039193143,0.004432848307322656,224.093,9.1,0.1,4,57,3,1.3382,1.31223,8695,662612,8769558.0
2011-04-24,11.173863410949707,20.870683670043945,23.097150802612305,26.482805252075195,0.014004986664700413,0.009125428147009815,0.01400723231788715,0.009582066244112905,224.093,9.1,0.1,4,56,3,1.19995,1.14937,7830,681240,8769558.0
2011-05-01,11.511082649230957,21.28533363342285,23.67137336730957,27.248289108276367,0.008942888326726328,0.006754239374096515,0.015655579661165882,0.005589779850683899,224.806,9.0,0.09,4,56,3,1.14889,1.11451,7307,655627,8769558.0
