date,flu symptoms,fever,shortness of breath
2016-06-26,3,58,4
2016-07-03,3,56,4
2016-07-10,2,56,4
2016-07-17,3,62,4
2016-07-24,2,57,4
2016-07-31,3,59,4
2016-08-07,2,51,3
2016-08-14,3,55,3
2016-08-21,3,60,4
2016-08-28,4,57,4
2016-09-04,4,61,4
2016-09-11,5,60,4
2016-09-18,6,63,4
2016-09-25,6,59,4
2016-10-02,7,60,4
2016-10-09,7,59,4
2016-10-16,7,61,4
2016-10-23,7,59,4
2016-10-30,8,62,4
2016-11-06,6,55,3
2016-11-13,7,61,4
2016-11-20,7,58,3
2016-11-27,8,62,4
2016-12-04,7,64,3
2016-12-11,8,65,3
2016-12-18,10,68,4
2016-12-25,13,72,4
2017-01-01,15,74,4
2017-01-08,14,76,4
2017-01-15,15,75,4
2017-01-22,15,76,5
2017-01-29,19,96,4
2017-02-05,24,89,4
2017-02-12,23,93,4
2017-02-19,21,88,4
2017-02-26,15,75,4
2017-03-05,13,74,4
2017-03-12,11,75,4
2017-03-19,12,88,4
2017-03-26,10,77,4
2017-04-02,8,74,4
2017-04-09,7,72,4
2017-04-16,7,71,4
2017-04-23,5,69,4
2017-04-30,5,64,4
2017-05-07,5,71,4
2017-05-14,4,65,4
2017-05-21,4,64,4
2017-05-28,4,65,4
2017-06-04,4,68,4
2017-06-11,4,68,4
2017-06-18,3,63,4
2017-06-25,3,61,4
2017-07-02,3,62,4
2017-07-09,3,58,4
2017-07-16,3,58,4
2017-07-23,3,60,5
2017-07-30,3,58,4
2017-08-06,3,57,4
2017-08-13,3,58,4
2017-08-20,3,58,4
2017-08-27,4,74,4
2017-09-03,5,72,4
2017-09-10,5,68,4
2017-09-17,6,60,4
2017-09-24,7,62,4
2017-10-01,7,60,4
2017-10-08,7,62,4
2017-10-15,8,66,4
2017-10-22,8,69,4
2017-10-29,9,66,4
2017-11-05,9,66,4
2017-11-12,9,73,4
2017-11-19,9,71,4
2017-11-26,11,74,4
2017-12-03,13,71,4
2017-12-10,17,80,4
2017-12-17,27,93,4
2017-12-24,36,100,4
2017-12-31,41,98,4
2018-01-07,28,44,2
2018-01-14,37,43,2
2018-01-21,42,48,2
2018-01-28,44,51,2
2018-02-04,40,54,2
2018-02-11,34,46,2
2018-02-18,21,43,2
2018-02-25,12,36,2
2018-03-04,9,34,2
2018-03-11,7,33,2
2018-03-18,6,34,2
