,year,_113_cause_name,cause_name,state,deaths,aadr
9544,2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Tennessee,14582,217.4
9545,2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Wyoming,992,217.4
9546,1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Vermont,1342,217.4
9547,1999,Malignant neoplasms (C00-C97),Cancer,Indiana,12898,217.4
9548,2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,7581,217.5
9549,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,11594,217.9
9550,2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,15314,217.9
9551,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Connecticut,8582,218.0
9552,1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New Mexico,3452,218.0
9553,2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Ohio,27886,218.5
9554,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,11346,218.5
9555,2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,7407,218.6
9556,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Wisconsin,12923,218.8
9557,2002,Malignant neoplasms (C00-C97),Cancer,Mississippi,6069,218.8
9558,2000,Malignant neoplasms (C00-C97),Cancer,Tennessee,12339,218.8
9559,2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Missouri,14338,218.9
9560,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New Jersey,20655,219.1
9561,2005,Malignant neoplasms (C00-C97),Cancer,Kentucky,9505,219.1
9562,2001,Malignant neoplasms (C00-C97),Cancer,West Virginia,4685,219.2
9563,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Connecticut,8815,219.3
9564,2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,West Virginia,5038,219.6
9565,2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Missouri,14644,219.8
9566,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,South Dakota,1985,219.9
9567,2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Oklahoma,9198,220.4
9568,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Texas,40152,220.4
9569,1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Idaho,2532,220.5
9570,2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,24344,220.6
9571,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Illinois,28226,220.7
9572,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maine,3272,220.7
9573,2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Indiana,14375,220.8
9574,2001,Malignant neoplasms (C00-C97),Cancer,Delaware,1786,221.0
9575,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Iowa,8181,221.5
9576,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,United States,652486,221.6
9577,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New Jersey,20560,221.8
9578,2003,Malignant neoplasms (C00-C97),Cancer,Louisiana,9533,221.8
9579,2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Virginia,14756,222.1
9580,2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Georgia,16478,222.2
9581,2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,District of Columbia,1306,222.4
9582,2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,12832,222.5
9583,2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,7274,222.5
9584,2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,24149,222.5
9585,2002,Malignant neoplasms (C00-C97),Cancer,Louisiana,9441,222.8
9586,1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arizona,10800,223.1
9587,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,13110,223.2
9588,2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,7938,223.2
9589,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kansas,6680,223.2
9590,1999,Malignant neoplasms (C00-C97),Cancer,Delaware,1737,223.3
9591,2000,Malignant neoplasms (C00-C97),Cancer,Mississippi,6075,223.6
9592,2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,8090,223.7
9593,2003,Malignant neoplasms (C00-C97),Cancer,Kentucky,9378,223.7
9594,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,8270,223.8
9595,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,South Carolina,9359,223.9
9596,2000,Malignant neoplasms (C00-C97),Cancer,West Virginia,4753,223.9
9597,2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,12461,224.0
9598,2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,District of Columbia,1288,224.1
9599,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Vermont,1429,224.1
9600,1999,Malignant neoplasms (C00-C97),Cancer,Kentucky,8925,224.2
9601,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Illinois,28284,224.3
9602,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Wisconsin,13023,224.3
9603,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New Hampshire,2776,225.0
9604,2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,12036,225.1
9605,2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,California,68864,225.1
9606,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Iowa,8250,225.1
9607,1999,Malignant neoplasms (C00-C97),Cancer,West Virginia,4762,225.1
9608,2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kentucky,10061,225.5
9609,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,South Carolina,9182,225.6
9610,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kansas,6716,225.6
9611,2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New York,49324,225.8
9612,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Rhode Island,2969,225.9
9613,2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,7295,226.1
9614,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Florida,49235,226.1
9615,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Rhode Island,3005,226.9
9616,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Texas,40196,226.9
9617,2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kentucky,9916,227.0
9618,2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Tennessee,14280,227.2
9619,1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Wyoming,1009,227.8
9620,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Indiana,14542,227.9
9621,2000,Malignant neoplasms (C00-C97),Cancer,Louisiana,9400,227.9
9622,1999,Malignant neoplasms (C00-C97),Cancer,Mississippi,6143,227.9
9623,2001,Malignant neoplasms (C00-C97),Cancer,Louisiana,9517,228.0
9624,2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Oklahoma,9868,228.1
9625,2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Tennessee,14661,228.1
9626,2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Michigan,24255,228.1
9627,2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Oklahoma,10209,228.2
9628,2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,12472,228.4
9629,2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Oklahoma,9721,228.5
